"Key"	"Source string"	"Context"	"Translation"
"hbui.EditorInfoDemo.bottomStartTooltip"	"Bottom Start"	"Original Translation
zh_CN: 底部开始
zh_TW: 底部開始"	""
"hbui.EditorInfoDemo.bottomTooltip"	"Bottom"	"Original Translation
zh_CN: 底部
zh_TW: 頁尾"	""
"hbui.EditorInfoDemo.complexTooltipTitle"	"Complex Tooltip"	"Original Translation
zh_CN: 复杂工具提示
zh_TW: 複雜工具提示"	""
"hbui.EditorInfoDemo.hoverMe"	"Hover Me!!!"	"Original Translation
zh_CN: 悬停我!!!
zh_TW: 暫留!!!"	""
"hbui.EditorInfoDemo.leftTooltip"	"Left"	"Original Translation
zh_CN: 向左
zh_TW: 左"	""
"hbui.EditorInfoDemo.panelTitle"	"Info Demo"	"Original Translation
zh_CN: 信息演示
zh_TW: 資訊展示"	""
"hbui.EditorInfoDemo.rightTooltip"	"Right"	"Original Translation
zh_CN: 向右
zh_TW: 右"	""
"hbui.EditorInfoDemo.tooltipSampleDescription"	"This is the description of the tooltip. Adding extra characters to show overflow."	"Original Translation
zh_CN: 这是工具提示的说明。添加额外的字符以显示溢出。
zh_TW: 這是工具提示的說明。加入額外字元以顯示溢位。"	""
"hbui.EditorInfoDemo.tooltipSampleTitle"	"This is the title"	"Original Translation
zh_CN: 这是标题
zh_TW: 這是標題"	""
"hbui.EditorInfoDemo.tooltipsTitle"	"Simple Tooltip"	"Original Translation
zh_CN: 简单工具提示
zh_TW: 簡單的工具提示"	""
"hbui.EditorInfoDemo.tooltipsWithTitleTitle"	"Text Tooltip With Title"	"Original Translation
zh_CN: 带标题的文本工具提示
zh_TW: 帶標題的文字工具提示"	""
"hbui.EditorInfoDemo.topEndTooltip"	"Top End"	"Original Translation
zh_CN: 顶部结束
zh_TW: 頂端"	""
"hbui.EditorInfoDemo.topStartTooltip"	"Top Start"	"Original Translation
zh_CN: 顶部开始
zh_TW: 頂部開始"	""
"hbui.EditorInfoDemo.topTooltip"	"Top"	"Original Translation
zh_CN: 顶部
zh_TW: 頁首"	""
"hbui.EditorInput.keyName.ALT"	"ALT"	"Original Translation
zh_CN: ALT
zh_TW: ALT"	""
"hbui.EditorInput.keyName.BACKSPACE"	"BACKSPACE"	"Original Translation
zh_CN: BACK SPACE
zh_TW: 退格鍵"	""
"hbui.EditorInput.keyName.BACK_QUOTE"	"BACK QUOTE"	"Original Translation
zh_CN: 反引号
zh_TW: 返回報價"	""
"hbui.EditorInput.keyName.BACK_SLASH"	"BACK SLASH"	"Original Translation
zh_CN: 反斜杠
zh_TW: 反斜線"	""
"hbui.EditorInput.keyName.BRACKET_CLOSE"	"BRACKET CLOSE"	"Original Translation
zh_CN: 右括号
zh_TW: 括號關閉"	""
"hbui.EditorInput.keyName.BRACKET_OPEN"	"BRACKET OPEN"	"Original Translation
zh_CN: 左括号
zh_TW: 括號打開"	""
"hbui.EditorInput.keyName.CAPS_LOCK"	"CAPS LOCK"	"Original Translation
zh_CN: CAPS LOCK
zh_TW: CAPS LOCK"	""
"hbui.EditorInput.keyName.COMMA"	"COMMA"	"Original Translation
zh_CN: 逗号
zh_TW: 逗號"	""
"hbui.EditorInput.keyName.CTRL"	"CTRL"	"Original Translation
zh_CN: CTRL
zh_TW: CTRL 鍵"	""
"hbui.EditorInput.keyName.DELETE"	"DELETE"	"Original Translation
zh_CN: 删除
zh_TW: DELETE 鍵"	""
"hbui.EditorInput.keyName.DOWN"	"DOWN"	"Original Translation
zh_CN: 下
zh_TW: 向下鍵"	""
"hbui.EditorInput.keyName.END"	"END"	"Original Translation
zh_CN: END
zh_TW: END 鍵"	""
"hbui.EditorInput.keyName.ENTER"	"ENTER"	"Original Translation
zh_CN: Enter
zh_TW: ENTER"	""
"hbui.EditorInput.keyName.ESCAPE"	"ESCAPE"	"Original Translation
zh_CN: ESC
zh_TW: ESCAPE 鍵"	""
"hbui.EditorInput.keyName.F1"	"F1"	"Original Translation
zh_CN: F1
zh_TW: F1"	""
"hbui.EditorInput.keyName.F10"	"F10"	"Original Translation
zh_CN: F10
zh_TW: F10"	""
"hbui.EditorInput.keyName.F11"	"F11"	"Original Translation
zh_CN: F11
zh_TW: F11"	""
"hbui.EditorInput.keyName.F12"	"F12"	"Original Translation
zh_CN: F12
zh_TW: F12"	""
"hbui.EditorInput.keyName.F2"	"F2"	"Original Translation
zh_CN: F2
zh_TW: F2"	""
"hbui.EditorInput.keyName.F3"	"F3"	"Original Translation
zh_CN: F3
zh_TW: F3"	""
"hbui.EditorInput.keyName.F4"	"F4"	"Original Translation
zh_CN: F4
zh_TW: F4"	""
"hbui.EditorInput.keyName.F5"	"F5"	"Original Translation
zh_CN: F5
zh_TW: F5"	""
"hbui.EditorInput.keyName.F6"	"F6"	"Original Translation
zh_CN: F6
zh_TW: F6"	""
"hbui.EditorInput.keyName.F7"	"F7"	"Original Translation
zh_CN: F7
zh_TW: F7"	""
"hbui.EditorInput.keyName.F8"	"F8"	"Original Translation
zh_CN: F8
zh_TW: F8"	""
"hbui.EditorInput.keyName.F9"	"F9"	"Original Translation
zh_CN: F9
zh_TW: F9"	""
"hbui.EditorInput.keyName.HOME"	"HOME"	"Original Translation
zh_CN: HOME
zh_TW: HOME 鍵"	""
"hbui.EditorInput.keyName.INSERT"	"INSERT"	"Original Translation
zh_CN: INSERT
zh_TW: INSERT 鍵"	""
"hbui.EditorInput.keyName.KEY_0"	"0"	"Original Translation
zh_CN: 0
zh_TW: 0"	""
"hbui.EditorInput.keyName.KEY_1"	"1"	"Original Translation
zh_CN: 1
zh_TW: 1"	""
"hbui.EditorInput.keyName.KEY_2"	"2"	"Original Translation
zh_CN: 2
zh_TW: 2"	""
"hbui.EditorInput.keyName.KEY_3"	"3"	"Original Translation
zh_CN: 3
zh_TW: 3"	""
"hbui.EditorInput.keyName.KEY_4"	"4"	"Original Translation
zh_CN: 4
zh_TW: 4"	""
"hbui.EditorInput.keyName.KEY_5"	"5"	"Original Translation
zh_CN: 5
zh_TW: 5"	""
"hbui.EditorInput.keyName.KEY_6"	"6"	"Original Translation
zh_CN: 6
zh_TW: 6"	""
"hbui.EditorInput.keyName.KEY_7"	"7"	"Original Translation
zh_CN: 7
zh_TW: 7"	""
"hbui.EditorInput.keyName.KEY_8"	"8"	"Original Translation
zh_CN: 8
zh_TW: 8"	""
"hbui.EditorInput.keyName.KEY_9"	"9"	"Original Translation
zh_CN: 9
zh_TW: 9"	""
"hbui.EditorInput.keyName.KEY_A"	"A"	"Original Translation
zh_CN: A
zh_TW: A"	""
"hbui.EditorInput.keyName.KEY_B"	"B"	"Original Translation
zh_CN: B
zh_TW: B"	""
"hbui.EditorInput.keyName.KEY_C"	"C"	"Original Translation
zh_CN: C
zh_TW: C"	""
"hbui.EditorInput.keyName.KEY_D"	"D"	"Original Translation
zh_CN: D
zh_TW: D"	""
"hbui.EditorInput.keyName.KEY_E"	"E"	"Original Translation
zh_CN: E
zh_TW: E"	""
"hbui.EditorInput.keyName.KEY_F"	"F"	"Original Translation
zh_CN: F
zh_TW: F"	""
"hbui.EditorInput.keyName.KEY_G"	"G"	"Original Translation
zh_CN: G
zh_TW: G"	""
"hbui.EditorInput.keyName.KEY_H"	"H"	"Original Translation
zh_CN: H
zh_TW: H"	""
"hbui.EditorInput.keyName.KEY_I"	"I"	"Original Translation
zh_CN: I
zh_TW: I"	""
"hbui.EditorInput.keyName.KEY_J"	"J"	"Original Translation
zh_CN: J
zh_TW: J"	""
"hbui.EditorInput.keyName.KEY_K"	"K"	"Original Translation
zh_CN: K
zh_TW: K"	""
"hbui.EditorInput.keyName.KEY_L"	"L"	"Original Translation
zh_CN: L
zh_TW: L"	""
"hbui.EditorInput.keyName.KEY_M"	"M"	"Original Translation
zh_CN: M
zh_TW: M"	""
"hbui.EditorInput.keyName.KEY_N"	"N"	"Original Translation
zh_CN: N
zh_TW: N"	""
"hbui.EditorInput.keyName.KEY_O"	"O"	"Original Translation
zh_CN: O
zh_TW: O"	""
"hbui.EditorInput.keyName.KEY_P"	"P"	"Original Translation
zh_CN: P
zh_TW: P"	""
"hbui.EditorInput.keyName.KEY_Q"	"Q"	"Original Translation
zh_CN: Q
zh_TW: Q"	""
"hbui.EditorInput.keyName.KEY_R"	"R"	"Original Translation
zh_CN: R
zh_TW: R"	""
"hbui.EditorInput.keyName.KEY_S"	"S"	"Original Translation
zh_CN: S
zh_TW: S"	""
"hbui.EditorInput.keyName.KEY_T"	"T"	"Original Translation
zh_CN: T
zh_TW: T"	""
"hbui.EditorInput.keyName.KEY_U"	"U"	"Original Translation
zh_CN: U
zh_TW: U"	""
"hbui.EditorInput.keyName.KEY_V"	"V"	"Original Translation
zh_CN: V
zh_TW: V"	""
"hbui.EditorInput.keyName.KEY_W"	"W"	"Original Translation
zh_CN: W
zh_TW: W"	""
"hbui.EditorInput.keyName.KEY_X"	"X"	"Original Translation
zh_CN: X
zh_TW: X"	""
"hbui.EditorInput.keyName.KEY_Y"	"Y"	"Original Translation
zh_CN: Y
zh_TW: Y"	""
"hbui.EditorInput.keyName.KEY_Z"	"Z"	"Original Translation
zh_CN: Z
zh_TW: Z"	""
"hbui.EditorInput.keyName.LEFT"	"LEFT"	"Original Translation
zh_CN: 左
zh_TW: 向左鍵"	""
"hbui.EditorInput.keyName.NUMPAD_0"	"NUMPAD 0"	"Original Translation
zh_CN: 数字键盘 0
zh_TW: NUMPAD 0"	""
"hbui.EditorInput.keyName.NUMPAD_1"	"NUMPAD 1"	"Original Translation
zh_CN: 数字键盘 1
zh_TW: NUMPAD 1"	""
"hbui.EditorInput.keyName.NUMPAD_2"	"NUMPAD 2"	"Original Translation
zh_CN: 数字键盘 2
zh_TW: NUMPAD 2"	""
"hbui.EditorInput.keyName.NUMPAD_3"	"NUMPAD 3"	"Original Translation
zh_CN: 数字键盘 3
zh_TW: NUMPAD 3"	""
"hbui.EditorInput.keyName.NUMPAD_4"	"NUMPAD 4"	"Original Translation
zh_CN: 数字键盘 4
zh_TW: NUMPAD 4"	""
"hbui.EditorInput.keyName.NUMPAD_5"	"NUMPAD 5"	"Original Translation
zh_CN: 数字键盘 5
zh_TW: NUMPAD 5"	""
"hbui.EditorInput.keyName.NUMPAD_6"	"NUMPAD 6"	"Original Translation
zh_CN: 数字键盘 6
zh_TW: NUMPAD 6"	""
"hbui.EditorInput.keyName.NUMPAD_7"	"NUMPAD 7"	"Original Translation
zh_CN: 数字键盘 7
zh_TW: NUMPAD 7"	""
"hbui.EditorInput.keyName.NUMPAD_8"	"NUMPAD 8"	"Original Translation
zh_CN: 数字键盘 8
zh_TW: NUMPAD 8"	""
"hbui.EditorInput.keyName.NUMPAD_9"	"NUMPAD 9"	"Original Translation
zh_CN: 数字键盘 9
zh_TW: NUMPAD 9"	""
"hbui.EditorInput.keyName.NUMPAD_ADD"	"NUMPAD ADD"	"Original Translation
zh_CN: 数字键盘加号
zh_TW: NUMPAD 加法鍵"	""
"hbui.EditorInput.keyName.NUMPAD_DECIMAL"	"NUMPAD DECIMAL"	"Original Translation
zh_CN: 数字键盘点号
zh_TW: NUMPAD 十進位鍵"	""
"hbui.EditorInput.keyName.NUMPAD_DIVIDE"	"NUMPAD DIVIDE"	"Original Translation
zh_CN: 数字键盘除号
zh_TW: NUMPAD 斜線鍵"	""
"hbui.EditorInput.keyName.NUMPAD_MULTIPLY"	"NUMPAD MULTIPLY"	"Original Translation
zh_CN: 数字键盘乘号
zh_TW: NUMPAD 乘號鍵"	""
"hbui.EditorInput.keyName.NUMPAD_SEPARATOR"	"NUMPAD SEPARATOR"	"Original Translation
zh_CN: 数字键盘分隔符
zh_TW: NUMPAD 分隔鍵"	""
"hbui.EditorInput.keyName.NUMPAD_SUBTRACT"	"NUMPAD SUBTRACT"	"Original Translation
zh_CN: 数字键盘减号
zh_TW: NUMPAD 減法鍵"	""
"hbui.EditorInput.keyName.PAGE_DOWN"	"PAGE DOWN"	"Original Translation
zh_CN: PAGE DOWN
zh_TW: PAGE DOWN 鍵"	""
"hbui.EditorInput.keyName.PAGE_UP"	"PAGE UP"	"Original Translation
zh_CN: PAGE UP 键
zh_TW: PAGE UP 鍵"	""
"hbui.EditorInput.keyName.PERIOD"	"PERIOD"	"Original Translation
zh_CN: 句号
zh_TW: 句號"	""
"hbui.EditorInput.keyName.PRINT_SCREEN"	"PRINT SCREEN"	"Original Translation
zh_CN: PRINT SCREEN
zh_TW: PRINT SCREEN 鍵"	""
"hbui.EditorInput.keyName.QUOTE"	"QUOTE"	"Original Translation
zh_CN: 引号
zh_TW: 報價"	""
"hbui.EditorInput.keyName.RIGHT"	"RIGHT"	"Original Translation
zh_CN: 右
zh_TW: 向右鍵"	""
"hbui.EditorInput.keyName.SHIFT"	"SHIFT"	"Original Translation
zh_CN: SHIFT
zh_TW: SHIFT 鍵"	""
"hbui.EditorInput.keyName.SLASH"	"SLASH"	"Original Translation
zh_CN: 斜杠
zh_TW: 斜線"	""
"hbui.EditorInput.keyName.SPACE"	"SPACE"	"Original Translation
zh_CN: 空格
zh_TW: 空格鍵"	""
"hbui.EditorInput.keyName.TAB"	"TAB"	"Original Translation
zh_CN: TAB
zh_TW: TAB 鍵"	""
"hbui.EditorInput.keyName.UP"	"UP"	"Original Translation
zh_CN: 上
zh_TW: 向上鍵"	""
"hbui.EditorKeybindingField.type"	"Key Binding Field"	"Original Translation
zh_CN: 按键绑定字段
zh_TW: 按鍵繫結欄位"	""
"hbui.EditorKeybindingField.unbound"	"Unbound"	"Original Translation
zh_CN: 未绑定
zh_TW: 未繫結"	""
"hbui.EditorKeybindingField.value"	"Value"	"Original Translation
zh_CN: 明暗度
zh_TW: 數值"	""
"hbui.EditorKeyboardSettings.bindingField.tooltip"	"Click on the input field and press keyboard keys to create the desired binding. Press ENTER or unfocus to confirm the binding, or ESCAPE to reset it. Right-clicking on the field while focused will unbind the current binding."	"Original Translation
zh_CN: 单击输入字段，并按下键盘键来创建想要的绑定。按 ENTER 或取消焦点以确认绑定，或按 ESC 键重置绑定。在获得焦点时右键单击该字段，即可解除当前绑定。
zh_TW: 按一下輸入欄位並按下鍵盤按鍵以建立所需的繫結。按 ENTER 或取消焦點以確認繫結，或按 ESCAPE 以重設繫結。在欄位聚焦時，用滑鼠右鍵按一下可解除目前繫結。"	""
"hbui.EditorKeyboardSettings.clearBinding.tooltip"	"Unbind key binding."	"Original Translation
zh_CN: 解除按键绑定。
zh_TW: 解除按鍵繫結。"	""
"hbui.EditorKeyboardSettings.context.project.title"	"Project"	"Original Translation
zh_CN: 项目
zh_TW: 專案"	""
"hbui.EditorKeyboardSettings.context.project.tooltip"	"Global context for both Crosshair and Tool modes."	"Original Translation
zh_CN: 十字准线模式和工具模式的全局上下文。
zh_TW: 準星和工具模式的全域內容。"	""
"hbui.EditorKeyboardSettings.context.toolMode.title"	"Tool Mode"	"Original Translation
zh_CN: 工具模式
zh_TW: 工具模式"	""
"hbui.EditorKeyboardSettings.context.toolMode.tooltip"	"Global context for Tool mode."	"Original Translation
zh_CN: 工具模式的全局上下文。
zh_TW: 工具模式的全域內容。"	""
"hbui.EditorKeyboardSettings.context.viewport.title"	"Viewport"	"Original Translation
zh_CN: 视区
zh_TW: 視埠"	""
"hbui.EditorKeyboardSettings.context.viewport.tooltip"	"Input context for when the viewport is in focus."	"Original Translation
zh_CN: 视区处于焦点时的输入上下文。
zh_TW: 視埠處於焦點時的輸入內容。"	""
"hbui.EditorKeyboardSettings.core"	"Core Contexts"	"Original Translation
zh_CN: 核心内容
zh_TW: 核心內容"	""
"hbui.EditorKeyboardSettings.count"	"%1$s of %2$s"	"Original Translation
zh_CN: 第 %1$s 个，共 %2$s 个
zh_TW: %1$s/%2$s"	""
"hbui.EditorKeyboardSettings.exclusive"	"Exclusive"	"Original Translation
zh_CN: 独家
zh_TW: 獨佔"	""
"hbui.EditorKeyboardSettings.exclusive.tooltip"	"When the exclusive toggle is enabled, single-key actions will activate only if no other modifiers are present, or if the specified modifier combination is used alongside the key."	"Original Translation
zh_CN: 开启独占切换后，仅当不存在其他修饰键，或与指定修饰键组合与该键一起使用时，单键操作才会被激活。
zh_TW: 啟用獨佔切換時，單鍵動作僅在沒有其他修飾鍵存在時，或與指定修飾鍵組合一起使用時才會啟動。"	""
"hbui.EditorKeyboardSettings.name"	"Action"	"Original Translation
zh_CN: 动作
zh_TW: 動作"	""
"hbui.EditorKeyboardSettings.projectDescription"	"Global context for both crosshair and tool modes"	"Original Translation
zh_CN: 十字准线模式和工具模式的全局上下文
zh_TW: 兩種準星和工具模式的全域內容"	""
"hbui.EditorKeyboardSettings.projectTooltip"	"Project input context"	"Original Translation
zh_CN: 项目输入上下文
zh_TW: 專案輸入內容"	""
"hbui.EditorKeyboardSettings.reset"	"Reset"	"Original Translation
zh_CN: 重置
zh_TW: 重置"	""
"hbui.EditorKeyboardSettings.resetAll"	"Reset All"	"Original Translation
zh_CN: 全部重置
zh_TW: 全部重設"	""
"hbui.EditorKeyboardSettings.restore"	"Restore Defaults"	"Original Translation
zh_CN: 恢复默认值
zh_TW: 還原成預設值"	""
"hbui.EditorKeyboardSettings.restore.tooltip"	"Restore key binding to default."	"Original Translation
zh_CN: 将按键绑定恢复为默认设置。
zh_TW: 將按鍵繫結還原為預設值。"	""
"hbui.EditorKeyboardSettings.restoreAll"	"Restore All Defaults"	"Original Translation
zh_CN: 恢复所有默认设置
zh_TW: 還原所有預設值"	""
"hbui.EditorKeyboardSettings.save"	"Save"	"Original Translation
zh_CN: 保存
zh_TW: 儲存"	""
"hbui.EditorKeyboardSettings.saveAll"	"Save All"	"Original Translation
zh_CN: 保存全部
zh_TW: 儲存全部"	""
"hbui.EditorKeyboardSettings.shortcut"	"Shortcut"	"Original Translation
zh_CN: 快捷方式
zh_TW: 捷徑"	""
"hbui.EditorKeyboardSettings.title"	"Keyboard Settings"	"Original Translation
zh_CN: 键盘设置
zh_TW: 鍵盤設定"	""
"hbui.EditorKeyboardSettings.tools"	"Modal Tools"	"Original Translation
zh_CN: 模态工具
zh_TW: 強制回應工具"	""
"hbui.EditorLink.elementType"	"Link"	"Original Translation
zh_CN: 链接
zh_TW: 連結"	""
"hbui.EditorLink.warningModal.cancel"	"Cancel"	"Original Translation
zh_CN: 取消
zh_TW: 取消"	""
"hbui.EditorLink.warningModal.content"	"Caution, the link you're about to open has not been verified by Minecraft."	"Original Translation
zh_CN: 注意，您要打开的链接尚未经过 Minecraft 验证。
zh_TW: 注意，你即將開啟的連結尚未經過 Minecraft 驗證。"	""
"hbui.EditorLink.warningModal.continue"	"Continue"	"Original Translation
zh_CN: 继续
zh_TW: 繼續"	""
"hbui.EditorLink.warningModal.link"	"Link: %s"	"Original Translation
zh_CN: 链接：%s
zh_TW: 連結：%s"	""
"hbui.EditorLink.warningModal.title"	"Unverified Link"	"Original Translation
zh_CN: 未验证链接
zh_TW: 未驗證的連結"	""
"hbui.EditorListSearchField.noResults"	"No results"	"Original Translation
zh_CN: 没有结果
zh_TW: 沒有結果"	""
"hbui.EditorListSearchField.search"	"Search"	"Original Translation
zh_CN: 搜索
zh_TW: 搜尋"	""
"hbui.EditorLogPanel.autoScroll"	"Auto Scroll"	"Original Translation
zh_CN: 自动滚动
zh_TW: 自動捲動"	""
"hbui.EditorLogPanel.autoScroll.tooltip"	"Toggle automatically scroll to the bottom of the Log Panel as need entries are made."	"Original Translation
zh_CN: 根据需要添加的条目，自动切换滚动到日志面板底部。
zh_TW: 需要輸入時，切換會自動捲動到記錄面板的底部。"	""
"hbui.EditorLogPanel.clear"	"Clear"	"Original Translation
zh_CN: 清除
zh_TW: 清除"	""
"hbui.EditorLogPanel.clipboard"	"Copy message to clipboard."	"Original Translation
zh_CN: 将消息复制到剪贴板。
zh_TW: 將訊息複製到剪貼簿。"	""
"hbui.EditorLogPanel.debug"	"Debug"	"Original Translation
zh_CN: 调试
zh_TW: 偵錯"	""
"hbui.EditorLogPanel.debug.tooltip"	"Toggle display of debug messages."	"Original Translation
zh_CN: 切换显示调试消息。
zh_TW: 切換偵錯訊息的顯示。"	""
"hbui.EditorLogPanel.error"	"Error"	"Original Translation
zh_CN: 错误
zh_TW: 錯誤"	""
"hbui.EditorLogPanel.error.tooltip"	"Toggle display of error messages."	"Original Translation
zh_CN: 切换显示错误消息。
zh_TW: 切換錯誤訊息顯示。"	""
"hbui.EditorLogPanel.filter"	"Filter"	"Original Translation
zh_CN: 筛选
zh_TW: 篩選"	""
"hbui.EditorLogPanel.filter.tooltip"	"Filter where the errors and warning are coming from."	"Original Translation
zh_CN: 筛选错误和警告的来源。
zh_TW: 篩選錯誤和警告的來源。"	""
"hbui.EditorLogPanel.info"	"Info"	"Original Translation
zh_CN: 信息
zh_TW: 資訊"	""
"hbui.EditorLogPanel.info.tooltip"	"Toggle display of info messages."	"Original Translation
zh_CN: 切换显示信息消息。
zh_TW: 切換資訊訊息的顯示。"	""
"hbui.EditorLogPanel.warning"	"Warning"	"Original Translation
zh_CN: 警告
zh_TW: 警告"	""
"hbui.EditorLogPanel.warning.tooltip"	"Toggle display of warning messages."	"Original Translation
zh_CN: 切换显示警告消息。
zh_TW: 切換警告訊息的顯示。"	""
"hbui.EditorLogPanel.windowTitle"	"Log Panel"	"Original Translation
zh_CN: 日志面板
zh_TW: 記錄面板"	""
"hbui.EditorMenuBar.count"	"%1$s of %2$s"	"Original Translation
zh_CN: 第 %1$s 个，共 %2$s 个
zh_TW: %1$s/%2$s"	""
"hbui.EditorMenuBar.item"	"Menu"	"Original Translation
zh_CN: 菜单
zh_TW: 選單"	""
"hbui.EditorMenuBar.overflow"	"Overflow"	"Original Translation
zh_CN: 溢出
zh_TW: 溢出"	""
"hbui.EditorMenuBar.title"	"Menu Bar"	"Original Translation
zh_CN: 菜单栏
zh_TW: 選單列"	""
"hbui.EditorMenuItem.checked"	"Checked"	"Original Translation
zh_CN: 已选中
zh_TW: 已選取"	""
"hbui.EditorMenuItem.count"	"%1$s of %2$s"	"Original Translation
zh_CN: 第 %1$s 个，共 %2$s 个
zh_TW: %1$s/%2$s"	""
"hbui.EditorMenuItem.item"	"Action Item"	"Original Translation
zh_CN: 操作项
zh_TW: 動作物品"	""
"hbui.EditorMenuItem.menu"	"Menu"	"Original Translation
zh_CN: 菜单
zh_TW: 選單"	""
"hbui.EditorMenuItem.open"	"Open"	"Original Translation
zh_CN: 打开
zh_TW: 開啟"	""
"hbui.EditorMenuItem.stateful"	"Stateful"	"Original Translation
zh_CN: 状态
zh_TW: 有狀態"	""
"hbui.EditorMenuItem.unchecked"	"Unchecked"	"Original Translation
zh_CN: 未选中
zh_TW: 未選取"	""
"hbui.EditorModal.close"	"Close"	"Original Translation
zh_CN: 关闭
zh_TW: 關閉"	""
"hbui.EditorPalette.title"	"Palette"	"Original Translation
zh_CN: 调色板
zh_TW: 調色板"	""
"hbui.EditorPaletteItem.addBlockButtonLabel"	"Add Block"	"Original Translation
zh_CN: 添加方块
zh_TW: 新增方塊"	""
"hbui.EditorPaletteItem.addButton"	"Add Block"	"Original Translation
zh_CN: 添加方块
zh_TW: 新增方塊"	""
"hbui.EditorPaletteItem.balanceButton"	"Balance Weights"	"Original Translation
zh_CN: 平衡权重
zh_TW: 天平砝碼"	""
"hbui.EditorPaletteItem.blockColumnHeader"	"Block"	"Original Translation
zh_CN: 阻止
zh_TW: 方塊"	""
"hbui.EditorPaletteItem.blockList"	"Block List"	"Original Translation
zh_CN: 方块列表
zh_TW: 方塊清單"	""
"hbui.EditorPaletteItem.convertToProbableIconLabel"	"Make list"	"Original Translation
zh_CN: 制作列表
zh_TW: 製作清單"	""
"hbui.EditorPaletteItem.count"	"%1$s of %2$s"	"Original Translation
zh_CN: 第 %1$s 个，共 %2$s 个
zh_TW: %1$s/%2$s"	""
"hbui.EditorPaletteItem.probableBlockListType"	"Probable Block List"	"Original Translation
zh_CN: 可能的方块列表
zh_TW: 可能的方塊清單"	""
"hbui.EditorPaletteItem.probableListItemType"	"Probable Block List Item"	"Original Translation
zh_CN: 可能的方块列表项
zh_TW: 可能的方塊清單物品"	""
"hbui.EditorPaletteItem.removeAllButton"	"Remove All Blocks"	"Original Translation
zh_CN: 移除所有方块
zh_TW: 移除所有方塊"	""
"hbui.EditorPaletteItem.removeBlockButton"	"Remove Block"	"Original Translation
zh_CN: 移除方块
zh_TW: 移除方塊"	""
"hbui.EditorPaletteItem.title"	"Palette Item"	"Original Translation
zh_CN: 调色板项
zh_TW: 調色板物品"	""
"hbui.EditorPaletteItem.type"	"Simple Block"	"Original Translation
zh_CN: 简单方块
zh_TW: 簡單方塊"	""
"hbui.EditorPaletteItem.weight"	"Weight"	"Original Translation
zh_CN: 重量
zh_TW: 重量"	""
"hbui.EditorRemotePane.narration"	"Panel"	"Original Translation
zh_CN: 面板
zh_TW: 面板"	""
"hbui.EditorRemotePane.overlayModal"	"Overlay Modal"	"Original Translation
zh_CN: 覆盖模态框
zh_TW: 覆蓋模組"	""
"hbui.EditorRoute.brushToolDescription"	"Paints custom brush strokes."	"Original Translation
zh_CN: 绘制自定义画笔描边。
zh_TW: 繪製自訂筆刷。"	""
"hbui.EditorRoute.brushToolTooltip"	"Brush Tool"	"Original Translation
zh_CN: 画笔工具
zh_TW: 畫筆工具"	""
"hbui.EditorRoute.stampToolDescription"	"Copies one area of the world onto another area."	"Original Translation
zh_CN: 将世界的一个区域复制到另一个区域。
zh_TW: 將世界的一個區域複製到另一個區域。"	""
"hbui.EditorRoute.stampToolTooltip"	"Stamp Tool"	"Original Translation
zh_CN: 图章工具
zh_TW: 戳記工具"	""
"hbui.EditorScriptDataStoreProvider.selectionToolDescription"	"Selects sections of the world."	"Original Translation
zh_CN: 选择世界的各个部分。
zh_TW: 選擇世界的部分。"	""
"hbui.EditorScriptDataStoreProvider.selectionToolTooltip"	"Selection Tool"	"Original Translation
zh_CN: 选择工具
zh_TW: 選擇工具"	""
"hbui.EditorStructurePanel.actionBarIconLarge"	"Large"	"Original Translation
zh_CN: 大
zh_TW: 大"	""
"hbui.EditorStructurePanel.actionBarIconMedium"	"Medium"	"Original Translation
zh_CN: 中
zh_TW: 中"	""
"hbui.EditorStructurePanel.actionBarIconSmall"	"Small"	"Original Translation
zh_CN: 小
zh_TW: 小"	""
"hbui.EditorStructurePanel.actionBarItemsCount"	"items"	"Original Translation
zh_CN: 项目
zh_TW: 物品"	""
"hbui.EditorStructurePanel.actionBarSortOptionAtoz"	"A-z"	"Original Translation
zh_CN: A-z
zh_TW: A-z"	""
"hbui.EditorStructurePanel.actionBarSortOptionBySource"	"By Source"	"Original Translation
zh_CN: 按来源
zh_TW: 依來源"	""
"hbui.EditorStructurePanel.actionBarSortOptionByTags"	"By Tags"	"Original Translation
zh_CN: 按标记
zh_TW: 依標籤"	""
"hbui.EditorStructurePanel.actionBarSortOptionZtoa"	"Z-a"	"Original Translation
zh_CN: Z-a
zh_TW: Z-a"	""
"hbui.EditorStructurePanel.button"	"Button"	"Original Translation
zh_CN: 按钮
zh_TW: 按鈕"	""
"hbui.EditorStructurePanel.count"	"%1$s of %2$s"	"Original Translation
zh_CN: 第 %1$s 个，共 %2$s 个
zh_TW: %1$s/%2$s"	""
"hbui.EditorStructurePanel.countLabel"	"Count"	"Original Translation
zh_CN: 计数
zh_TW: 計數"	""
"hbui.EditorStructurePanel.deleteButton"	"Delete Button"	"Original Translation
zh_CN: 删除按钮
zh_TW: 刪除按鈕"	""
"hbui.EditorStructurePanel.deleteModal.button.cancel"	"Cancel"	"Original Translation
zh_CN: 取消
zh_TW: 取消"	""
"hbui.EditorStructurePanel.deleteModal.button.confirm"	"Delete Now"	"Original Translation
zh_CN: 立即删除
zh_TW: 立即刪除"	""
